"","low","est","high","ID","type","metric"
"t[position] (days)281",0.787124900106337,1.36075554250921,2.35242926023479,"137922013Snow","OUF anisotropic","t[position] (days)281"
"t[velocity] (minutes)66",9.77361728032265,33.9761306518218,118.111587650745,"137922013Snow","OUF anisotropic","t[velocity] (minutes)66"
"speed (kilometers/day)306",27.8388649979692,39.508922515213,51.1609232148142,"137922013Snow","OUF anisotropic","speed (kilometers/day)306"
"area (square kilometers)335",1873.99548788511,3261.69901947517,5027.6205907093,"137942013Snow","OUF anisotropic","area (square kilometers)335"
"t[position] (days)282",3.8024809031776,7.57365261023994,15.0849446246161,"137942013Snow","OUF anisotropic","t[position] (days)282"
"t[velocity] (hours)231",1.67907554343428,1.93373506686684,2.22701791080961,"137942013Snow","OUF anisotropic","t[velocity] (hours)231"
"speed (kilometers/day)307",24.0681406704049,25.1234812723101,26.1782196167269,"137942013Snow","OUF anisotropic","speed (kilometers/day)307"
"area (square kilometers)336",463.459901500662,624.092796479048,808.257806121575,"336772012Snow","OUF anisotropic","area (square kilometers)336"
"t[position] (days)283",1.71178739335224,2.42192549898286,3.42666568605602,"336772012Snow","OUF anisotropic","t[position] (days)283"
"t[velocity] (minutes)67",37.8810600529781,48.4540241528435,61.978003079134,"336772012Snow","OUF anisotropic","t[velocity] (minutes)67"
"speed (kilometers/day)308",26.9795467466054,29.1662743506979,31.3508343330023,"336772012Snow","OUF anisotropic","speed (kilometers/day)308"
"area (square kilometers)337",397.576071534737,463.455780012332,534.311755279773,"336772013SnowFree","OUF anisotropic","area (square kilometers)337"
"t[position] (hours)29",18.0930954527051,21.9487567863984,26.6260643861492,"336772013SnowFree","OUF anisotropic","t[position] (hours)29"
"t[velocity] (minutes)68",46.411425894285,57.218826505325,70.5428468003529,"336772013SnowFree","OUF anisotropic","t[velocity] (minutes)68"
"speed (kilometers/day)309",35.3295559641726,37.6178453109284,39.9042690891334,"336772013SnowFree","OUF anisotropic","speed (kilometers/day)309"
"area (square kilometers)338",425.924336094539,604.801694007041,814.549195483435,"336772013Snow","OUF anisotropic","area (square kilometers)338"
"t[position] (days)284",0.855427636685844,1.33743416983773,2.09103620451118,"336772013Snow","OUF anisotropic","t[position] (days)284"
"t[velocity] (hours)232",1.02085412190631,1.33925217332803,1.75695659671193,"336772013Snow","OUF anisotropic","t[velocity] (hours)232"
"speed (kilometers/day)310",27.9863014684397,30.0507500443865,32.1133114546974,"336772013Snow","OUF anisotropic","speed (kilometers/day)310"
"area (square kilometers)339",113.778363092333,157.563011127921,208.364476155575,"150092014SnowFree","OU anisotropic","area (square kilometers)339"
"t[position] (days)285",0.857325599046132,1.71962222585603,3.44921533073098,"150092014SnowFree","OU anisotropic","t[position] (days)285"
"area (square kilometers)340",3580.71086852856,10136.937922237,20044.1575338642,"336782013Snow","OUF anisotropic","area (square kilometers)340"
